TIME,SY_GP_MAX,SY_GP_OPEN,SY_GP_VEH,SY_GP_STL,SY_GP_STV,SY_RE_MAX,SY_RE_OPEN,SY_RE_VEH,SY_RE_STL,SY_RE_STV,SY_SE_MAX,SY_SE_OPEN,SY_SE_VEH,SY_SE_STL,SY_SE_STV,SY_SB_MAX,SY_SB_OPEN,SY_SB_VEH,SY_SB_STL,SY_SB_STV,OM_GP_MAX,OM_GP_OPEN,OM_GP_VEH,OM_GP_STL,OM_GP_STV,OM_RE_MAX,OM_RE_OPEN,OM_RE_VEH,OM_RE_STL,OM_RE_STV,OM_SE_MAX,OM_SE_OPEN,OM_SE_VEH,OM_SE_STL,OM_SE_STV,OM_SB_MAX,OM_SB_OPEN,OM_SB_VEH,OM_SB_STL,OM_SB_STV,OMC_GP_MAX,OMC_GP_OPEN,OMC_GP_VEH,OMC_GP_STL,OMC_GP_STV,OMC_SP_MAX,OMC_SP_OPEN,OMC_SP_VEH,OMC_SP_STL,OMC_SP_STV,OMC_SB_MAX,OMC_SB_OPEN,OMC_SB_VEH,OMC_SB_STL,OMC_SB_STV,OME_GP_MAX,OME_GP_OPEN,OME_GP_VEH,OME_GP_STL,OME_GP_STV,OME_RE_MAX,OME_RE_OPEN,OME_RE_VEH,OME_RE_STL,OME_RE_STV,OME_SE_MAX,OME_SE_OPEN,OME_SE_VEH,OME_SE_STL,OME_SE_STV,OME_SB_MAX,OME_SB_OPEN,OME_SB_VEH,OME_SB_STL,OME_SB_STV,OMEC_GP_MAX,OMEC_GP_OPEN,OMEC_GP_VEH,OMEC_GP_STL,OMEC_GP_STV,OMEC_SP_MAX,OMEC_SP_OPEN,OMEC_SP_VEH,OMEC_SP_STL,OMEC_SP_STV,OMEC_SB_MAX,OMEC_SB_OPEN,OMEC_SB_VEH,OMEC_SB_STL,OMEC_SB_STV
1,25,5,30,5,42,25,10,30,10,42,25,2,80,0,100,5,5,510,0,615,13,2,48,0,15,13,4,80,0,20,13,0,125,0,145,2,1,500,0,615,10,1,23,0,19,10,1,23,0,21,6,4,89,0,50,0,0,60,0,76,0,0,79,0,77,0,0,125,0,145,0,0,768,0,615,0,0,23,0,19,0,0,23,0,21,0,0,89,0,50
2,25,5,30,5,42,25,9,30,9,42,25,2,80,0,100,5,5,510,0,615,13,2,48,0,55,13,4,80,0,100,13,0,125,0,145,2,1,500,0,615,10,1,23,0,19,10,1,23,0,21,6,4,89,0,50,0,0,60,0,76,0,0,79,0,77,0,0,125,0,145,0,0,768,0,615,0,0,23,0,19,0,0,23,0,21,0,0,89,0,50
3,25,5,30,5,42,25,9,40,9,55,25,2,30,0,100,5,5,510,0,615,13,2,48,0,76,13,4,80,0,125,13,0,125,0,145,2,1,500,0,615,10,1,23,0,19,10,1,23,0,21,6,4,89,0,50,0,0,60,0,76,0,0,79,0,77,0,0,125,0,145,0,0,768,0,615,0,0,23,0,19,0,0,23,0,21,0,0,89,0,50
4,25,5,30,5,42,25,9,43,9,60,25,2,100,0,100,5,5,768,0,615,13,2,48,0,76,13,4,80,0,125,13,0,125,0,145,2,1,768,0,615,10,1,23,0,19,10,1,23,0,21,6,4,89,0,50,0,0,60,0,76,0,0,79,0,77,0,0,125,0,145,0,0,768,0,615,0,0,23,0,19,0,0,23,0,21,0,0,89,0,50
5,25,8,40,8,56,25,8,62,8,87,25,4,100,0,145,5,5,768,0,615,13,4,48,0,76,13,6,93,0,130,13,2,50,0,145,2,1,768,0,615,10,1,23,0,19,10,1,23,0,21,6,4,89,0,50,0,0,60,0,76,0,0,79,0,77,0,0,125,0,145,0,0,768,0,615,0,0,23,0,19,0,0,23,0,21,0,0,89,0,50
6,25,8,52,8,73,25,8,63,8,88,25,7,125,0,145,5,5,768,0,615,13,4,52,0,76,13,6,117,0,130,13,2,120,0,145,2,1,768,0,615,10,5,5,0,19,10,2,5,0,21,6,4,89,0,50,0,0,60,0,76,0,0,79,0,77,0,0,125,0,145,0,0,768,0,615,0,0,23,0,19,0,0,23,0,21,0,0,89,0,50
7,25,8,52,8,73,25,8,56,8,79,25,8,125,0,145,5,5,768,0,615,13,4,52,0,76,13,6,117,0,130,13,3,120,0,145,2,1,768,0,615,10,6,6,0,19,10,2,6,0,21,6,4,89,0,50,0,0,60,0,76,0,0,79,0,77,0,0,125,0,145,0,0,768,0,615,0,0,23,0,19,0,0,23,0,21,0,0,89,0,50
8,25,8,52,8,73,25,8,52,8,73,25,8,120,0,145,5,5,768,0,615,13,3,60,0,76,13,7,100,0,130,13,3,120,0,145,2,1,768,0,615,10,6,20,0,19,10,2,20,0,21,6,4,89,0,50,0,0,60,0,76,0,0,79,0,77,0,0,125,0,145,0,0,768,0,615,0,0,23,0,19,0,0,23,0,21,0,0,89,0,50
9,25,8,52,8,73,25,8,54,8,75,25,8,120,0,145,5,5,768,0,615,13,3,60,0,76,13,7,100,0,125,13,3,145,0,145,2,1,768,0,615,10,6,23,0,19,10,2,23,0,21,6,4,89,0,50,0,0,60,0,76,0,0,79,0,77,0,0,125,0,145,0,0,768,0,615,0,0,23,0,19,0,0,23,0,21,0,0,89,0,50
10,25,8,45,8,65,25,8,56,8,79,25,8,120,0,145,5,5,768,0,615,13,3,60,0,76,13,7,100,0,125,13,2,150,0,145,2,1,768,0,615,10,7,23,0,19,10,3,23,0,21,6,4,89,0,50,0,0,60,0,76,0,0,79,0,77,0,0,125,0,145,0,0,768,0,615,0,0,23,0,19,0,0,23,0,21,0,0,89,0,50
11,25,8,45,8,65,25,8,50,8,70,25,8,110,0,145,5,5,768,0,615,13,3,60,0,76,13,7,95,0,100,13,2,150,0,145,2,1,768,0,615,10,7,23,0,19,10,3,23,0,21,6,4,89,0,50,0,0,60,0,76,0,0,79,0,77,0,0,125,0,145,0,0,768,0,615,0,0,23,0,19,0,0,23,0,21,0,0,89,0,50
12,25,8,45,8,65,25,8,50,8,70,25,8,110,0,125,5,5,768,0,615,13,3,60,0,76,13,7,95,0,100,13,2,150,0,145,2,1,768,0,615,10,7,23,0,19,10,3,23,0,21,6,4,89,0,50,0,0,60,0,76,0,0,79,0,77,0,0,125,0,145,0,0,768,0,615,0,0,23,0,19,0,0,23,0,21,0,0,89,0,50
13,25,8,40,8,60,25,8,52,8,73,25,8,100,0,145,5,5,768,0,615,13,3,67,0,76,13,7,95,0,100,13,2,150,0,145,2,1,768,0,615,10,7,25,0,19,10,3,25,0,21,6,4,89,0,50,0,0,60,0,76,0,0,79,0,77,0,0,125,0,145,0,0,768,0,615,0,0,23,0,19,0,0,23,0,21,0,0,89,0,50
14,25,8,40,8,60,25,8,52,8,73,25,8,100,0,145,5,5,768,0,615,13,3,67,0,76,13,7,95,0,100,13,2,150,0,145,2,1,768,0,615,10,7,32,0,19,10,3,32,0,21,6,4,89,0,50,0,0,60,0,76,0,0,79,0,77,0,0,125,0,145,0,0,768,0,615,0,0,23,0,19,0,0,23,0,21,0,0,89,0,50
15,25,8,40,8,60,25,8,52,8,73,25,8,100,0,145,5,5,800,0,615,13,3,67,0,76,13,7,95,0,100,13,2,150,0,145,2,2,800,0,615,10,7,32,0,19,10,3,32,0,21,6,4,89,0,50,0,0,60,0,76,0,0,79,0,77,0,0,125,0,145,0,0,768,0,615,0,0,23,0,19,0,0,23,0,21,0,0,89,0,50
16,25,8,40,8,55,25,8,52,8,73,25,7,115,0,145,5,5,800,0,615,13,3,67,0,76,13,7,95,0,100,13,2,145,0,145,2,2,800,0,615,10,7,32,0,19,10,3,32,0,21,6,4,89,0,50,0,0,60,0,76,0,0,79,0,77,0,0,125,0,145,0,0,768,0,615,0,0,23,0,19,0,0,23,0,21,0,0,89,0,50
17,25,8,40,8,55,25,8,52,8,73,25,7,115,0,145,5,5,800,0,615,13,3,65,0,76,13,7,95,0,100,13,2,145,0,145,2,2,800,0,615,10,7,32,0,19,10,3,32,0,21,6,4,89,0,50,0,0,60,0,76,0,0,79,0,77,0,0,125,0,145,0,0,768,0,615,0,0,23,0,19,0,0,23,0,21,0,0,89,0,50
18,25,8,36,8,51,25,8,49,8,69,25,6,115,0,145,5,5,800,0,615,13,3,65,0,76,13,7,95,0,100,13,2,145,0,145,2,2,800,0,615,10,7,32,0,19,10,3,32,0,21,6,4,89,0,50,0,0,60,0,76,0,0,79,0,77,0,0,125,0,145,0,0,768,0,615,0,0,23,0,19,0,0,23,0,21,0,0,89,0,50
19,25,8,40,8,55,25,8,49,8,69,25,7,112,0,145,5,5,800,0,615,13,3,65,0,76,13,7,95,0,100,13,2,120,0,145,2,2,800,0,615,10,7,35,0,19,10,3,35,0,21,6,4,89,0,50,0,0,60,0,76,0,0,79,0,77,0,0,125,0,145,0,0,768,0,615,0,0,23,0,19,0,0,23,0,21,0,0,89,0,50
20,25,8,40,8,55,25,8,49,8,69,25,7,112,0,145,5,5,800,0,615,13,3,65,0,76,13,7,95,0,100,13,2,120,0,145,2,2,800,0,615,10,7,35,0,19,10,3,35,0,21,6,4,89,0,50,0,0,60,0,76,0,0,79,0,77,0,0,125,0,145,0,0,768,0,615,0,0,23,0,19,0,0,23,0,21,0,0,89,0,50
21,25,8,40,8,55,25,8,54,8,75,25,6,112,0,145,5,5,800,0,615,13,3,59,0,76,13,7,80,0,100,13,2,130,0,145,2,2,800,0,615,10,7,28,0,19,10,3,28,0,21,6,4,89,0,50,0,0,60,0,76,0,0,79,0,77,0,0,125,0,145,0,0,768,0,615,0,0,23,0,19,0,0,23,0,21,0,0,89,0,50
22,25,8,35,8,50,25,8,59,8,83,25,5,112,0,145,5,5,768,0,615,13,3,59,0,76,13,7,80,0,100,13,2,130,0,145,2,2,768,0,615,10,3,28,0,19,10,2,28,0,21,6,4,89,0,50,0,0,60,0,76,0,0,79,0,77,0,0,125,0,145,0,0,768,0,615,0,0,23,0,19,0,0,23,0,21,0,0,89,0,50
23,25,6,35,6,50,25,10,40,10,55,25,4,112,0,145,5,5,768,0,615,13,3,50,0,76,13,5,80,0,100,13,1,130,0,145,2,2,768,0,615,10,3,28,0,19,10,2,28,0,21,6,4,89,0,50,0,0,60,0,76,0,0,79,0,77,0,0,125,0,145,0,0,768,0,615,0,0,23,0,19,0,0,23,0,21,0,0,89,0,50
24,25,5,20,5,25,25,10,30,10,42,25,3,112,0,145,5,5,768,0,615,13,2,30,0,76,13,5,50,0,100,13,1,130,0,145,2,2,768,0,615,10,1,28,0,19,10,1,28,0,21,6,4,89,0,50,0,0,60,0,76,0,0,79,0,77,0,0,125,0,145,0,0,768,0,615,0,0,23,0,19,0,0,23,0,21,0,0,89,0,50
